"","OR","2.5 %","97.5 %"
"(Intercept)",0.395713677800415,0.202252798503777,0.786921728685106
"hormone1",0.880043854464758,0.738510486726213,1.01787911352625
"hormone2",1.00050607223326,0.999895506425727,1.0010714359659
"hormone3",1.00230386408364,0.984817692350354,1.01775667226604
"hormone4",1.00732618525335,0.992287913917969,1.02167486207045
"hormone5",0.999256727560562,0.998344420490773,0.999979593917689
"hormone6",0.997989147148435,0.994441583679429,1.00131589339847
"hormone7",1.01735939734627,0.971270055344619,1.06094752104328
"hormone8",0.996028445317236,0.993577052942925,0.998349802682986
"hormone10_generated",0.985911634530431,NA,1.01371270903556
